DAN,TEMP
1150,26.54
1151,27.80
1152,28.47
1153,28.53
1154,23.86
1155,22.06
1156,26.73
1157,25.82
1158,19.24
1159,24.50
1160,27.24
1161,27.69
1162,17.73
1163,20.76
1164,24.13
1165,28.01
1166,28.83
1167,26.29
1168,23.61
1169,22.45
1170,21.45
1171,22.35
1172,24.06
1173,22.89
1174,22.21
1175,25.42
1176,28.11
1177,28.73
1178,28.71
1179,29.41
1180,32.92
1181,31.75
1182,15.47
1183,17.68
1184,17.18
1185,17.82
1186,13.52
1187,18.64
1188,23.46
1189,23.89
1190,11.10
1191,15.58
1192,15.53
1193,12.18
1194,8.26
